category,name,winner,award,href,year,film,fti_id
Actor,Burt Lancaster,1,Oscar,/wiki/Elmer_Gantry_(film),1960,Elmer Gantry,1
Actor,Trevor Howard,0,Oscar,/wiki/Sons_and_Lovers_(1960_film),1960,Sons and Lovers,2
Actor,Jack Lemmon,0,Oscar,/wiki/The_Apartment,1960,The Apartment,3
Actor,Laurence Olivier,0,Oscar,/wiki/The_Entertainer_(film),1960,The Entertainer,4
Actor,Spencer Tracy,0,Oscar,/wiki/Inherit_the_Wind_(1960_film),1960,Inherit the Wind,5
Actor,Maximilian Schell,1,Oscar,/wiki/Judgment_at_Nuremberg,1961,Judgment at Nuremberg,6
Actor,Charles Boyer,0,Oscar,/wiki/Fanny_(1961_film),1961,Fanny,7
Actor,Paul Newman,0,Oscar,/wiki/The_Hustler_(film),1961,The Hustler,8
Actor,Spencer Tracy,0,Oscar,/wiki/Judgment_at_Nuremberg,1961,Judgment at Nuremberg,9
Actor,Stuart Whitman,0,Oscar,/wiki/The_Mark_(1961_film),1961,The Mark,10
Actor,Gregory Peck,1,Oscar,/wiki/To_Kill_a_Mockingbird_(film),1962,To Kill a Mockingbird,11
Actor,Burt Lancaster,0,Oscar,/wiki/Birdman_of_Alcatraz_(film),1962,Birdman of Alcatraz,12
Actor,Jack Lemmon,0,Oscar,/wiki/Days_of_Wine_and_Roses_(film),1962,Days of Wine and Roses,13
Actor,Marcello Mastroianni,0,Oscar,/wiki/Divorce_Italian_Style,1962,Divorce Italian Style,14
Actor,Peter O'Toole,0,Oscar,/wiki/Lawrence_of_Arabia_(film),1962,Lawrence of Arabia,15
Actor,Sidney Poitier,1,Oscar,/wiki/Lilies_of_the_Field_(1963_film),1963,Lilies of the Field,16
Actor,Albert Finney,0,Oscar,/wiki/Tom_Jones_(1963_film),1963,Tom Jones,17
Actor,Richard Harris,0,Oscar,/wiki/This_Sporting_Life,1963,This Sporting Life,18
Actor,Rex Harrison,0,Oscar,/wiki/Cleopatra_(1963_film),1963,Cleopatra,19
Actor,Paul Newman,0,Oscar,/wiki/Hud_(1963_film),1963,Hud,20
Actor,Rex Harrison,1,Oscar,/wiki/My_Fair_Lady_(film),1964,My Fair Lady,21
Actor,Richard Burton,0,Oscar,/wiki/Becket_(1964_film),1964,Becket,22
Actor,Peter O'Toole,0,Oscar,/wiki/Becket_(1964_film),1964,Becket,23
Actor,Anthony Quinn,0,Oscar,/wiki/Zorba_the_Greek_(film),1964,Zorba the Greek,24
Actor,Peter Sellers,0,Oscar,/wiki/Dr._Strangelove,1964,Dr. Strangelove,25
Actor,Lee Marvin,1,Oscar,/wiki/Cat_Ballou,1965,Cat Ballou,26
Actor,Richard Burton,0,Oscar,/wiki/The_Spy_Who_Came_in_from_the_Cold_(film),1965,The Spy Who Came in from the Cold,27
Actor,Laurence Olivier,0,Oscar,/wiki/Othello_(1965_film),1965,Othello,28
Actor,Rod Steiger,0,Oscar,/wiki/The_Pawnbroker_(film),1965,The Pawnbroker,29
Actor,Oskar Werner,0,Oscar,/wiki/Ship_of_Fools_(film),1965,Ship of Fools,30
Actor,Paul Scofield,1,Oscar,/wiki/A_Man_for_All_Seasons_(1966_film),1966,A Man for All Seasons,31
Actor,Alan Arkin,0,Oscar,"/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",1966,"The Russians Are Coming, the Russians Are Coming",32
Actor,Richard Burton,0,Oscar,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),1966,Who's Afraid of Virginia Woolf?,33
Actor,Michael Caine,0,Oscar,/wiki/Alfie_(1966_film),1966,Alfie,34
Actor,Steve McQueen,0,Oscar,/wiki/The_Sand_Pebbles_(film),1966,The Sand Pebbles,35
Actor,Rod Steiger,1,Oscar,/wiki/In_the_Heat_of_the_Night_(film),1967,In the Heat of the Night,36
Actor,Warren Beatty,0,Oscar,/wiki/Bonnie_and_Clyde_(film),1967,Bonnie and Clyde,37
Actor,Dustin Hoffman,0,Oscar,/wiki/The_Graduate,1967,The Graduate,38
Actor,Paul Newman,0,Oscar,/wiki/Cool_Hand_Luke,1967,Cool Hand Luke,39
Actor,Spencer Tracy,0,Oscar,/wiki/Guess_Who%27s_Coming_to_Dinner,1967,Guess Who's Coming to Dinner,40
Actor,Cliff Robertson,1,Oscar,/wiki/Charly,1968,Charly,41
Actor,Alan Arkin,0,Oscar,/wiki/The_Heart_Is_a_Lonely_Hunter_(film),1968,The Heart Is a Lonely Hunter,42
Actor,Alan Bates,0,Oscar,/wiki/The_Fixer_(1968_film),1968,The Fixer,43
Actor,Ron Moody,0,Oscar,/wiki/Oliver!_(film),1968,Oliver!,44
Actor,Peter O'Toole,0,Oscar,/wiki/The_Lion_in_Winter_(1968_film),1968,The Lion in Winter,45
Actor,John Wayne,1,Oscar,/wiki/True_Grit_(1969_film),1969,True Grit,46
Actor,Richard Burton,0,Oscar,/wiki/Anne_of_the_Thousand_Days,1969,Anne of the Thousand Days,47
Actor,Dustin Hoffman,0,Oscar,/wiki/Midnight_Cowboy,1969,Midnight Cowboy,48
Actor,Peter O'Toole,0,Oscar,"/wiki/Goodbye,_Mr._Chips_(1969_film)",1969,"Goodbye, Mr. Chips",49
Actor,Jon Voight,0,Oscar,/wiki/Midnight_Cowboy,1969,Midnight Cowboy,50
Actor,George C. Scott,0,Oscar,/wiki/Patton_(film),1970,Patton,51
Actor,Melvyn Douglas,0,Oscar,/wiki/I_Never_Sang_for_My_Father,1970,I Never Sang for My Father,52
Actor,James Earl Jones,0,Oscar,/wiki/The_Great_White_Hope_(film),1970,The Great White Hope,53
Actor,Jack Nicholson,0,Oscar,/wiki/Five_Easy_Pieces,1970,Five Easy Pieces,54
Actor,Ryan O'Neal,0,Oscar,/wiki/Love_Story_(1970_film),1970,Love Story,55
Actor,Gene Hackman,1,Oscar,/wiki/The_French_Connection_(film),1971,The French Connection,56
Actor,Peter Finch,0,Oscar,/wiki/Sunday_Bloody_Sunday_(film),1971,Sunday Bloody Sunday,57
Actor,Walter Matthau,0,Oscar,/wiki/Kotch,1971,Kotch,58
Actor,George C. Scott,0,Oscar,/wiki/The_Hospital,1971,The Hospital,59
Actor,Topol,0,Oscar,/wiki/Fiddler_on_the_Roof_(film),1971,Fiddler on the Roof,60
Actor,Marlon Brando,0,Oscar,/wiki/The_Godfather,1972,The Godfather,61
Actor,Michael Caine,0,Oscar,/wiki/Sleuth_(1972_film),1972,Sleuth,62
Actor,Laurence Olivier,0,Oscar,/wiki/Sleuth_(1972_film),1972,Sleuth,63
Actor,Peter O'Toole,0,Oscar,/wiki/The_Ruling_Class_(film),1972,The Ruling Class,64
Actor,Paul Winfield,0,Oscar,/wiki/Sounder_(film),1972,Sounder,65
Actor,Jack Lemmon,1,Oscar,/wiki/Save_the_Tiger,1973,Save the Tiger,66
Actor,Marlon Brando,0,Oscar,/wiki/Last_Tango_in_Paris,1973,Last Tango in Paris,67
Actor,Jack Nicholson,0,Oscar,/wiki/The_Last_Detail,1973,The Last Detail,68
Actor,Al Pacino,0,Oscar,/wiki/Serpico,1973,Serpico,69
Actor,Robert Redford,0,Oscar,/wiki/The_Sting,1973,The Sting,70
Actor,Art Carney,1,Oscar,/wiki/Harry_and_Tonto,1974,Harry and Tonto,71
Actor,Albert Finney,0,Oscar,/wiki/Murder_on_the_Orient_Express_(1974_film),1974,Murder on the Orient Express,72
Actor,Dustin Hoffman,0,Oscar,/wiki/Lenny_(film),1974,Lenny,73
Actor,Jack Nicholson,0,Oscar,/wiki/Chinatown_(1974_film),1974,Chinatown,74
Actor,Al Pacino,0,Oscar,/wiki/The_Godfather_Part_II,1974,The Godfather Part II,75
Actor,Jack Nicholson,1,Oscar,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),1975,One Flew Over the Cuckoo's Nest,76
Actor,Walter Matthau,0,Oscar,/wiki/The_Sunshine_Boys_(1975_film),1975,The Sunshine Boys,77
Actor,Al Pacino,0,Oscar,/wiki/Dog_Day_Afternoon,1975,Dog Day Afternoon,78
Actor,Maximilian Schell,0,Oscar,/wiki/The_Man_in_the_Glass_Booth,1975,The Man in the Glass Booth,79
Actor,James Whitmore,0,Oscar,"/wiki/Give_%27em_Hell,_Harry!",1975,"Give 'em Hell, Harry!",80
Actor,Peter Finch,0,Oscar,/wiki/Network_(film),1976,Network,81
Actor,Robert De Niro,0,Oscar,/wiki/Taxi_Driver,1976,Taxi Driver,82
Actor,Giancarlo Giannini,0,Oscar,/wiki/Seven_Beauties,1976,Seven Beauties,83
Actor,William Holden,0,Oscar,/wiki/Network_(film),1976,Network,84
Actor,Sylvester Stallone,0,Oscar,/wiki/Rocky,1976,Rocky,85
Actor,Richard Dreyfuss,1,Oscar,/wiki/The_Goodbye_Girl,1977,The Goodbye Girl,86
Actor,Woody Allen,0,Oscar,/wiki/Annie_Hall,1977,Annie Hall,87
Actor,Richard Burton,0,Oscar,/wiki/Equus_(film),1977,Equus,88
Actor,Marcello Mastroianni,0,Oscar,/wiki/A_Special_Day,1977,A Special Day,89
Actor,John Travolta,0,Oscar,/wiki/Saturday_Night_Fever,1977,Saturday Night Fever,90
Actor,Jon Voight,1,Oscar,/wiki/Coming_Home_(1978_film),1978,Coming Home,91
Actor,Warren Beatty,0,Oscar,/wiki/Heaven_Can_Wait_(1978_film),1978,Heaven Can Wait,92
Actor,Gary Busey,0,Oscar,/wiki/The_Buddy_Holly_Story,1978,The Buddy Holly Story,93
Actor,Robert De Niro,0,Oscar,/wiki/The_Deer_Hunter,1978,The Deer Hunter,94
Actor,Laurence Olivier,0,Oscar,/wiki/The_Boys_from_Brazil_(film),1978,The Boys from Brazil,95
Actor,Dustin Hoffman,1,Oscar,/wiki/Kramer_vs._Kramer,1979,Kramer vs. Kramer,96
Actor,Jack Lemmon,0,Oscar,/wiki/The_China_Syndrome,1979,The China Syndrome,97
Actor,Al Pacino,0,Oscar,/wiki/...And_Justice_for_All_(film),1979,...And Justice for All,98
Actor,Roy Scheider,0,Oscar,/wiki/All_That_Jazz_(film),1979,All That Jazz,99
Actor,Peter Sellers,0,Oscar,/wiki/Being_There,1979,Being There,100
Actor,Robert De Niro,1,Oscar,/wiki/Raging_Bull,1980,Raging Bull,101
Actor,Robert Duvall,0,Oscar,/wiki/The_Great_Santini,1980,The Great Santini,102
Actor,John Hurt,0,Oscar,/wiki/The_Elephant_Man_(film),1980,The Elephant Man,103
Actor,Jack Lemmon,0,Oscar,/wiki/Tribute_(1980_film),1980,Tribute,104
Actor,Peter O'Toole,0,Oscar,/wiki/The_Stunt_Man,1980,The Stunt Man,105
Actor,Henry Fonda,1,Oscar,/wiki/On_Golden_Pond_(1981_film),1981,On Golden Pond,106
Actor,Warren Beatty,0,Oscar,/wiki/Reds_(film),1981,Reds,107
Actor,Burt Lancaster,0,Oscar,/wiki/Atlantic_City_(1980_film),1981,Atlantic City,108
Actor,Dudley Moore,0,Oscar,/wiki/Arthur_(1981_film),1981,Arthur,109
Actor,Paul Newman,0,Oscar,/wiki/Absence_of_Malice,1981,Absence of Malice,110
Actor,Ben Kingsley,1,Oscar,/wiki/Gandhi_(film),1982,Gandhi,111
