award,category,film,href,name,winner,year
Oscar,Actor,Dances with Wolves,/wiki/Dances_with_Wolves,Kevin Costner,0,1990
Oscar,Actor,Awakenings,/wiki/Awakenings,Robert De Niro,0,1990
Oscar,Actor,Cyrano de Bergerac,/wiki/Cyrano_de_Bergerac_(1990_film),Grard Depardieu,0,1990
Oscar,Actor,The Field,/wiki/The_Field_(film),Richard Harris,0,1990
Oscar,Actor,Bugsy,/wiki/Bugsy,Warren Beatty,0,1991
Oscar,Actor,Cape Fear,/wiki/Cape_Fear_(1991_film),Robert De Niro,0,1991
Oscar,Actor,The Prince of Tides,/wiki/The_Prince_of_Tides,Nick Nolte,0,1991
Oscar,Actor,The Fisher King,/wiki/The_Fisher_King,Robin Williams,0,1991
Oscar,Actor,Chaplin,/wiki/Chaplin_(film),Robert Downey Jr.,0,1992
Oscar,Actor,Unforgiven,/wiki/Unforgiven,Clint Eastwood,0,1992
Oscar,Actor,The Crying Game,/wiki/The_Crying_Game,Stephen Rea,0,1992
Oscar,Actor,Malcolm X,/wiki/Malcolm_X_(1992_film),Denzel Washington,0,1992
Oscar,Actor,In the Name of the Father,/wiki/In_the_Name_of_the_Father_(film),Daniel Day-Lewis,0,1993
Oscar,Actor,What's Love Got to Do with It,/wiki/What%27s_Love_Got_to_Do_with_It_(film),Laurence Fishburne,0,1993
Oscar,Actor,The Remains of the Day,/wiki/The_Remains_of_the_Day_(film),Anthony Hopkins,0,1993
Oscar,Actor,Schindler's List,/wiki/Schindler%27s_List,Liam Neeson,0,1993
Oscar,Actor,The Shawshank Redemption,/wiki/The_Shawshank_Redemption,Morgan Freeman,0,1994
Oscar,Actor,The Madness of King George,/wiki/The_Madness_of_King_George,Nigel Hawthorne,0,1994
Oscar,Actor,Nobody's Fool,/wiki/Nobody%27s_Fool_(1994_film),Paul Newman,0,1994
Oscar,Actor,Pulp Fiction,/wiki/Pulp_Fiction,John Travolta,0,1994
Oscar,Actor,Mr. Holland's Opus,/wiki/Mr._Holland%27s_Opus,Richard Dreyfuss,0,1995
Oscar,Actor,Nixon,/wiki/Nixon_(film),Anthony Hopkins,0,1995
Oscar,Actor,Dead Man Walking,/wiki/Dead_Man_Walking_(film),Sean Penn,0,1995
Oscar,Actor,Il Postino,/wiki/Il_Postino,Massimo Troisi,0,1995
Oscar,Actor,Jerry Maguire,/wiki/Jerry_Maguire,Tom Cruise,0,1996
Oscar,Actor,The English Patient,/wiki/The_English_Patient_(film),Ralph Fiennes,0,1996
Oscar,Actor,The People vs. Larry Flynt,/wiki/The_People_vs._Larry_Flynt,Woody Harrelson,0,1996
Oscar,Actor,Sling Blade,/wiki/Sling_Blade,Billy Bob Thornton,0,1996
Oscar,Actor,Good Will Hunting,/wiki/Good_Will_Hunting,Matt Damon,0,1997
Oscar,Actor,The Apostle,/wiki/The_Apostle,Robert Duvall,0,1997
Oscar,Actor,Ulee's Gold,/wiki/Ulee%27s_Gold,Peter Fonda,0,1997
Oscar,Actor,Wag the Dog,/wiki/Wag_the_Dog,Dustin Hoffman,0,1997
Oscar,Actor,Saving Private Ryan,/wiki/Saving_Private_Ryan,Tom Hanks,0,1998
Oscar,Actor,Gods and Monsters,/wiki/Gods_and_Monsters_(film),Ian McKellen,0,1998
Oscar,Actor,Affliction,/wiki/Affliction_(film),Nick Nolte,0,1998
Oscar,Actor,American History X,/wiki/American_History_X,Edward Norton,0,1998
Oscar,Actor,The Insider,/wiki/The_Insider_(film),Russell Crowe,0,1999
Oscar,Actor,The Straight Story,/wiki/The_Straight_Story,Richard Farnsworth,0,1999
Oscar,Actor,Sweet and Lowdown,/wiki/Sweet_and_Lowdown,Sean Penn,0,1999
Oscar,Actor,The Hurricane,/wiki/The_Hurricane_(1999_film),Denzel Washington,0,1999
Oscar,Actor,Before Night Falls,/wiki/Before_Night_Falls_(film),Javier Bardem,0,2000
Oscar,Actor,Cast Away,/wiki/Cast_Away,Tom Hanks,0,2000
Oscar,Actor,Pollock,/wiki/Pollock_(film),Ed Harris,0,2000
Oscar,Actor,Quills,/wiki/Quills,Geoffrey Rush,0,2000
Oscar,Actor,A Beautiful Mind,/wiki/A_Beautiful_Mind_(film),Russell Crowe,0,2001
Oscar,Actor,I Am Sam,/wiki/I_Am_Sam,Sean Penn,0,2001
Oscar,Actor,Ali,/wiki/Ali_(film),Will Smith,0,2001
Oscar,Actor,In the Bedroom,/wiki/In_the_Bedroom,Tom Wilkinson,0,2001
Oscar,Actor,Adaptation,/wiki/Adaptation_(film),Nicolas Cage,0,2002
Oscar,Actor,The Quiet American,/wiki/The_Quiet_American_(2002_film),Michael Caine,0,2002
Oscar,Actor,Gangs of New York,/wiki/Gangs_of_New_York,Daniel Day-Lewis,0,2002
Oscar,Actor,About Schmidt,/wiki/About_Schmidt,Jack Nicholson,0,2002
Oscar,Actor,Pirates of the Caribbean: The Curse of the Black Pearl,/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,Johnny Depp,0,2003
Oscar,Actor,House of Sand and Fog,/wiki/House_of_Sand_and_Fog_(film),Ben Kingsley,0,2003
Oscar,Actor,Cold Mountain,/wiki/Cold_Mountain_(film),Jude Law,0,2003
Oscar,Actor,Lost in Translation,/wiki/Lost_in_Translation_(film),Bill Murray,0,2003
Oscar,Actor,Hotel Rwanda,/wiki/Hotel_Rwanda,Don Cheadle,0,2004
Oscar,Actor,Finding Neverland,/wiki/Finding_Neverland_(film),Johnny Depp,0,2004
Oscar,Actor,The Aviator,/wiki/The_Aviator_(2004_film),Leonardo DiCaprio,0,2004
Oscar,Actor,Million Dollar Baby,/wiki/Million_Dollar_Baby,Clint Eastwood,0,2004
Oscar,Actor,Hustle & Flow,/wiki/Hustle_%26_Flow,Terrence Howard,0,2005
Oscar,Actor,Brokeback Mountain,/wiki/Brokeback_Mountain,Heath Ledger,0,2005
Oscar,Actor,Walk the Line,/wiki/Walk_the_Line,Joaquin Phoenix,0,2005
Oscar,Actor,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",David Strathairn,0,2005
Oscar,Actor,Blood Diamond,/wiki/Blood_Diamond,Leonardo DiCaprio,0,2006
Oscar,Actor,Half Nelson,/wiki/Half_Nelson_(film),Ryan Gosling,0,2006
Oscar,Actor,Venus,/wiki/Venus_(film),Peter O'Toole,0,2006
Oscar,Actor,The Pursuit of Happyness,/wiki/The_Pursuit_of_Happyness,Will Smith,0,2006
Oscar,Actor,Michael Clayton,/wiki/Michael_Clayton_(film),George Clooney,0,2007
