category,name,winner,award,href,year,film
Actor,Burt Lancaster,1,Oscar,/wiki/Elmer_Gantry_(film),1960,Elmer Gantry
Actor,Trevor Howard,0,Oscar,/wiki/Sons_and_Lovers_(1960_film),1960,Sons and Lovers
Actor,Jack Lemmon,0,Oscar,/wiki/The_Apartment,1960,The Apartment
Actor,Laurence Olivier,0,Oscar,/wiki/The_Entertainer_(film),1960,The Entertainer
Actor,Spencer Tracy,0,Oscar,/wiki/Inherit_the_Wind_(1960_film),1960,Inherit the Wind
Actor,Maximilian Schell,1,Oscar,/wiki/Judgment_at_Nuremberg,1961,Judgment at Nuremberg
Actor,Charles Boyer,0,Oscar,/wiki/Fanny_(1961_film),1961,Fanny
Actor,Paul Newman,0,Oscar,/wiki/The_Hustler_(film),1961,The Hustler
Actor,Spencer Tracy,0,Oscar,/wiki/Judgment_at_Nuremberg,1961,Judgment at Nuremberg
Actor,Stuart Whitman,0,Oscar,/wiki/The_Mark_(1961_film),1961,The Mark
Actor,Gregory Peck,1,Oscar,/wiki/To_Kill_a_Mockingbird_(film),1962,To Kill a Mockingbird
Actor,Burt Lancaster,0,Oscar,/wiki/Birdman_of_Alcatraz_(film),1962,Birdman of Alcatraz
Actor,Jack Lemmon,0,Oscar,/wiki/Days_of_Wine_and_Roses_(film),1962,Days of Wine and Roses
Actor,Marcello Mastroianni,0,Oscar,/wiki/Divorce_Italian_Style,1962,Divorce Italian Style
Actor,Peter O'Toole,0,Oscar,/wiki/Lawrence_of_Arabia_(film),1962,Lawrence of Arabia
Actor,Sidney Poitier,1,Oscar,/wiki/Lilies_of_the_Field_(1963_film),1963,Lilies of the Field
Actor,Albert Finney,0,Oscar,/wiki/Tom_Jones_(1963_film),1963,Tom Jones
Actor,Richard Harris,0,Oscar,/wiki/This_Sporting_Life,1963,This Sporting Life
Actor,Rex Harrison,0,Oscar,/wiki/Cleopatra_(1963_film),1963,Cleopatra
Actor,Paul Newman,0,Oscar,/wiki/Hud_(1963_film),1963,Hud
Actor,Rex Harrison,1,Oscar,/wiki/My_Fair_Lady_(film),1964,My Fair Lady
Actor,Richard Burton,0,Oscar,/wiki/Becket_(1964_film),1964,Becket
Actor,Peter O'Toole,0,Oscar,/wiki/Becket_(1964_film),1964,Becket
Actor,Anthony Quinn,0,Oscar,/wiki/Zorba_the_Greek_(film),1964,Zorba the Greek
Actor,Peter Sellers,0,Oscar,/wiki/Dr._Strangelove,1964,Dr. Strangelove
Actor,Lee Marvin,1,Oscar,/wiki/Cat_Ballou,1965,Cat Ballou
Actor,Richard Burton,0,Oscar,/wiki/The_Spy_Who_Came_in_from_the_Cold_(film),1965,The Spy Who Came in from the Cold
Actor,Laurence Olivier,0,Oscar,/wiki/Othello_(1965_film),1965,Othello
Actor,Rod Steiger,0,Oscar,/wiki/The_Pawnbroker_(film),1965,The Pawnbroker
Actor,Oskar Werner,0,Oscar,/wiki/Ship_of_Fools_(film),1965,Ship of Fools
Actor,Paul Scofield,1,Oscar,/wiki/A_Man_for_All_Seasons_(1966_film),1966,A Man for All Seasons
Actor,Alan Arkin,0,Oscar,"/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",1966,"The Russians Are Coming, the Russians Are Coming"
Actor,Richard Burton,0,Oscar,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),1966,Who's Afraid of Virginia Woolf?
Actor,Michael Caine,0,Oscar,/wiki/Alfie_(1966_film),1966,Alfie
Actor,Steve McQueen,0,Oscar,/wiki/The_Sand_Pebbles_(film),1966,The Sand Pebbles
Actor,Rod Steiger,1,Oscar,/wiki/In_the_Heat_of_the_Night_(film),1967,In the Heat of the Night
Actor,Warren Beatty,0,Oscar,/wiki/Bonnie_and_Clyde_(film),1967,Bonnie and Clyde
Actor,Dustin Hoffman,0,Oscar,/wiki/The_Graduate,1967,The Graduate
Actor,Paul Newman,0,Oscar,/wiki/Cool_Hand_Luke,1967,Cool Hand Luke
Actor,Spencer Tracy,0,Oscar,/wiki/Guess_Who%27s_Coming_to_Dinner,1967,Guess Who's Coming to Dinner
Actor,Cliff Robertson,1,Oscar,/wiki/Charly,1968,Charly
Actor,Alan Arkin,0,Oscar,/wiki/The_Heart_Is_a_Lonely_Hunter_(film),1968,The Heart Is a Lonely Hunter
Actor,Alan Bates,0,Oscar,/wiki/The_Fixer_(1968_film),1968,The Fixer
Actor,Ron Moody,0,Oscar,/wiki/Oliver!_(film),1968,Oliver!
Actor,Peter O'Toole,0,Oscar,/wiki/The_Lion_in_Winter_(1968_film),1968,The Lion in Winter
Actor,John Wayne,1,Oscar,/wiki/True_Grit_(1969_film),1969,True Grit
Actor,Richard Burton,0,Oscar,/wiki/Anne_of_the_Thousand_Days,1969,Anne of the Thousand Days
Actor,Dustin Hoffman,0,Oscar,/wiki/Midnight_Cowboy,1969,Midnight Cowboy
