award,category,film,href,name,winner,year
Oscar,Actor,Elmer Gantry,/wiki/Elmer_Gantry_(film),Burt Lancaster,1,1960
Oscar,Actor,Sons and Lovers,/wiki/Sons_and_Lovers_(1960_film),Trevor Howard,0,1960
Oscar,Actor,The Apartment,/wiki/The_Apartment,Jack Lemmon,0,1960
Oscar,Actor,The Entertainer,/wiki/The_Entertainer_(film),Laurence Olivier,0,1960
Oscar,Actor,Inherit the Wind,/wiki/Inherit_the_Wind_(1960_film),Spencer Tracy,0,1960
Oscar,Actor,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,Maximilian Schell,1,1961
Oscar,Actor,Fanny,/wiki/Fanny_(1961_film),Charles Boyer,0,1961
Oscar,Actor,The Hustler,/wiki/The_Hustler_(film),Paul Newman,0,1961
Oscar,Actor,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,Spencer Tracy,0,1961
Oscar,Actor,The Mark,/wiki/The_Mark_(1961_film),Stuart Whitman,0,1961
Oscar,Actor,To Kill a Mockingbird,/wiki/To_Kill_a_Mockingbird_(film),Gregory Peck,1,1962
Oscar,Actor,Birdman of Alcatraz,/wiki/Birdman_of_Alcatraz_(film),Burt Lancaster,0,1962
Oscar,Actor,Days of Wine and Roses,/wiki/Days_of_Wine_and_Roses_(film),Jack Lemmon,0,1962
Oscar,Actor,Divorce Italian Style,/wiki/Divorce_Italian_Style,Marcello Mastroianni,0,1962
Oscar,Actor,Lawrence of Arabia,/wiki/Lawrence_of_Arabia_(film),Peter O'Toole,0,1962
Oscar,Actor,Lilies of the Field,/wiki/Lilies_of_the_Field_(1963_film),Sidney Poitier,1,1963
Oscar,Actor,Tom Jones,/wiki/Tom_Jones_(1963_film),Albert Finney,0,1963
Oscar,Actor,This Sporting Life,/wiki/This_Sporting_Life,Richard Harris,0,1963
Oscar,Actor,Cleopatra,/wiki/Cleopatra_(1963_film),Rex Harrison,0,1963
Oscar,Actor,Hud,/wiki/Hud_(1963_film),Paul Newman,0,1963
Oscar,Actor,My Fair Lady,/wiki/My_Fair_Lady_(film),Rex Harrison,1,1964
Oscar,Actor,Becket,/wiki/Becket_(1964_film),Richard Burton,0,1964
Oscar,Actor,Becket,/wiki/Becket_(1964_film),Peter O'Toole,0,1964
Oscar,Actor,Zorba the Greek,/wiki/Zorba_the_Greek_(film),Anthony Quinn,0,1964
